AtomicNo,  Symbol,  Name,     AtomicWeight,  Red,  Green,  Blue
1,          H,   Hydrogen,       1.008,      255,  255,  255
2,          He,  Helium,         4.002,      217,  255,  255
3,          Li,  Lithium,        6.94,       204,  128,  255
4,          Be,  Berylium,       9.012,      194,  255,    0
5,          B,   Boron,          10.81,      255,  181,  181
6,          C,   Carbon,         12.011,     144,  144,  144
7,          N,   Nitrogen,       14.007,      48,   80,  248
8,          O,   Oxygen,         15.999,     255,   13,   13
9,          F,   Fluorine,       18.998,     144,  224,   80
10,         Ne,  Neon,           20.180,     179,  227,  245
11,         Na,  Sodium,         22.990,     171,   92,  242
12,         Mg,  Magnesium,      24.305,     138,  255,    0
13,         Al,  Aluminum,       26.982,     191,  166,  166
14,         Si,  Silicon,        28.085,     240,  200,  160
15,         P,   Phosphorus,     30.974,     255,  128,    0
16,         S,   Sulfur,         32.06,      255,  255,   48
17,         Cl,  Chlorine,       35.45,       31,  240,   31
18,         Ar,  Argon,          39.95,      128,  209,  227
19,         K,   Potassium,      39.098,     143,   64,  212
20,         Ca,  Calcium,        40.078,      61,  255,    0
21,         Sc,  Scandium,       44.956,     230,  230,  230
22,         Ti,  Titanium,       47.867,     191,  194,  199
23,         V,   Vanadium,       50.942,     166,  166,  171
24,         Cr,  Chromium,       51.996,     138,  153,  199
25,         Mn,  Manganese,      54.938,     156,  122,  199
26,         Fe,  Iron,           55.845,     224,  102,   51
27,         Co,  Cobalt,         58.933,     240,  144,  160
28,         Ni,  Nickel,         58.693,      80,  208,   80
29,         Cu,  Copper,         63.546,     200,  128,   51
30,         Zn,  Zinc,           65.38,      125,  128,  176
31,         Ga,  Gallium,        69.723,     194,  143,  143
32,         Ge,  Germanium,      72.630,     102,  143,  143
33,         As,  Arsenic,        74.922,     189,  128,  227
34,         Se,  Selenium,       78.971,     255,  161,    0
35,         Br,  Bromine,        79.904,     166,   41,   41
36,         Kr,  Krypton,        83.798,      92,  184,  209
37,         Rb,  Rubidium,       85.468,     112,   46,  176
38,         Sr,  Strontium,      87.62,        0,  255,    0
39,         Y,   Yttrium,        88.906,     148,  255,  255
40,         Zr,  Zirconium,      91.224,     148,  224,  224
41,         Nb,  Niobium,        92.906,     115,  194,  201
42,         Mo,  Molybdenum,     95.95,       84,  181,  181
43,         Tc,  Technetium,     97,          59,  158,  158
44,         Ru,  Ruthenium,      101.07,      36,  143,  143
45,         Rh,  Rhodium,        102.91,      10,  125,  140
46,         Pd,  Palladium,      106.42,       0,  105,  133
47,         Ag,  Silver,         107.87,     192,  192,  192
48,         Cd,  Cadmium,        112.41,     255,  217,  143
49,         In,  Indium,         114.82,     166,  117,  115
50,         Sn,  Tin,            118.71,     102,  128,  128
51,         Sb,  Antimony,       121.76,     158,   99,  181
52,         Te,  Tellurium,      127.60,     212,  122,    0
53,         I,   Iodine,         126.9,      148,    0,  148
54,         Xe,  Xenon,          131.29,      66,  158,  176
55,         Cs,  Caesium,        132.91,      87,   23,  143
56,         Ba,  Barium,         137.33,       0,  201,    0
57,         La,  Lanthanum,      138.91,     112,  212,  255
58,         Ce,  Cerium,         140.12,     255,  255,  199
59,         Pr,  Praseodymium,   140.91,     217,  255,  199
60,         Nd,  Neodymium,      144.24,     199,  255,  199
61,         Pm,  Promethium,     145,        163,  255,  199
62,         Sm,  Samarium,       150.36,     143,  255,  199
63,         Eu,  Europium,       151.96,      97,  255,  199
64,         Gd,  Gadolinium,     157.25,      69,  255,  199
65,         Tb,  Terbium,        158.93,      48,  255,  199
66,         Dy,  Dysprosium,     162.5,       31,  255,  199
67,         Ho,  Holmium,        164.93,       0,  255,  156
68,         Er,  Erbium,         167.26,       0,  230,  117
69,         Tm,  Thulium,        168.93,       0,  212,   82
70,         Yb,  Ytterbium,      173.05,       0,  191,   56
71,         Lu,  Lutetium,       174.97,       0,  171,   36
72,         Hf,  Hafnium,        178.49,      77,  194,  255
73,         Ta,  Tantalum,       180.95,      77,  166,  255
74,         W,   Tungsten,       183.84,      33,  148,  214
75,         Re,  Rhenium,        186.21,      38,  125,  171
76,         Os,  Osmium,         190.23,      38,  102,  150
77,         Ir,  Iridium,        192.22,      23,   84,  135
78,         Pt,  Platinum,       195.08,     208,  208,  224
79,         Au,  Gold,           196.97,     255,  209,   35
80,         Hg,  Mercury,        200.59,     184,  184,  208
81,         Tl,  Thallium,       204.38,     166,   84,   77
82,         Pb,  Lead,           207.2,       87,   89,   97
83,         Bi,  Bismuth,        208.98,     158,   79,  181
84,         Po,  Polonium,       209,        171,   92,    0
85,         At,  Astatine,       210,        117,   79,   69
86,         Rn,  Radon,          222,         66,  130,  150
87,         Fr,  Francium,       223,         66,    0,  102
88,         Ra,  Radium,         226,          0,  125,    0
89,         Ac,  Actinium,       227,        112,  171,  250
90,         Th,  Thorium,        208.98,       0,  186,  255
91,         Pa,  Protactinium,   231.04,       0,  161,  255
92,         U,   Uranium,        238.03,       0,  143,  255
93,         Np,  Neptunium,      237,          0,  128,  255
94,         Pu,  Plutonium,      244,          0,  107,  255
95,         Am,  Americium,      243,          84,  92,  242
96,         Cm,  Curium,         247,        120,   92,  227
97,         Bk,  Berkelium,      247,        138,   79,  227
98,         Cf,  Californium,    251,        161,   54,  212
99,         Es,  Einsteinium,    252,        179,   31,  212
100,        Fm,  Fermium,        257,        179,   31,  186
101,        Md,  Mendelevium,    258,        179,   13,  166
102,        No,  Nobelium,       259,        189,   13,  135
103,        Lr,  Lawrencium,     266,        199,    0,  102
104,        Rf,  Rutherfordium,  267,        204,    0,   89
105,        Db,  Dubnium,        268,        209,    0,   79
106,        Sg,  Seaborgium,     269,        217,    0,   69
107,        Bh,  Bohrium,        270,        224,    0,   56
108,        Hs,  Hassium,        269,        230,    0,   46
109,        Mt,  Meitnerium,     278,        235,    0,   38
